ID,Nombre del producto,Descripción,Puntaje,Precio,Categoría
1,Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,2.56,9.99,beauty
2,Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",2.86,19.99,beauty
3,Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",4.64,14.99,beauty
4,Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",4.36,12.99,beauty
5,Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",4.32,8.99,beauty
6,Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",4.37,49.99,fragrances
7,Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",4.26,129.99,fragrances
8,Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",3.8,89.99,fragrances
9,Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",3.96,69.99,fragrances
10,Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",2.74,79.99,fragrances
11,Annibale Colombo Bed,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",4.77,1899.99,furniture
12,Annibale Colombo Sofa,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",3.92,2499.99,furniture
13,Bedside Table African Cherry,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",2.87,299.99,furniture
14,Knoll Saarinen Executive Conference Chair,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",4.88,499.99,furniture
15,Wooden Bathroom Sink With Mirror,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",3.59,799.99,furniture
16,Apple,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",4.19,1.99,groceries
17,Beef Steak,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",4.47,12.99,groceries
18,Cat Food,Nutritious cat food formulated to meet the dietary needs of your feline friend.,3.13,8.99,groceries
19,Chicken Meat,"Fresh and tender chicken meat, suitable for various culinary preparations.",3.19,9.99,groceries
20,Cooking Oil,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",4.8,4.99,groceries
21,Cucumber,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",4.07,1.49,groceries
22,Dog Food,Specially formulated dog food designed to provide essential nutrients for your canine companion.,4.55,10.99,groceries
23,Eggs,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",2.53,2.99,groceries
24,Fish Steak,"Quality fish steak, suitable for grilling, baking, or pan-searing.",3.78,14.99,groceries
25,Green Bell Pepper,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",3.25,1.29,groceries
26,Green Chili Pepper,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",3.66,0.99,groceries
27,Honey Jar,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",3.97,6.99,groceries
28,Ice Cream,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",3.39,5.49,groceries
29,Juice,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",3.94,3.99,groceries
30,Kiwi,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",4.93,2.49,groceries
